k1,k2,E_Ts_x1,E_Tr_x1,E_OS_x1,E_Osc_x1,E_Ts_x2,E_Tr_x2,E_OS_x2,E_Osc_x2,E_Up,E_Ui,J,ProbabilityWeight-k1,prefix,ProbabilityWeight,ProbabilityWeight-k2,PointProbability
0.20096,0.4008,16.7519151915,1.44496449645,1.10570532849,5.58,16.99839984,1.29586958696,1.24718328171,5.71,0.7630495772,2.71895176431,10.1553028121,0.019996,113,0.00039972004,0.01999,0.1
0.20096,0.44078,15.0263626363,1.51863186319,0.995401557821,4.94,15.3442944294,1.32255225523,1.14307206792,5.1,0.80072739534,2.59336095891,9.38818237592,0.019996,114,0.00039972004,0.01999,0.1
0.20096,0.48076,13.7828782878,1.67548754875,0.91703631943,4.44,14.2240224022,1.31515151515,1.12570567786,4.71,0.863565082165,2.56745965205,8.93310252652,0.019996,115,0.00039972004,0.01999,0.1
0.20096,0.52074,12.6558855886,1.59949994999,0.876115205159,4.05,12.9545954595,1.36419641964,1.05005086434,4.22,0.93157202658,2.58664425185,8.41792681479,0.019996,116,0.00039972004,0.01999,0.1
0.20096,0.56072,11.600420042,1.47412741274,0.841323415327,3.72,11.902670267,1.45634563456,0.951228428925,3.82,0.955411238562,2.50021209088,7.91101281962,0.019996,117,0.00039972004,0.01999,0.1
0.20096,0.6007,10.6619461946,1.58273827383,0.747024333876,3.34,11.0218021802,1.22896289629,0.922353360564,3.59,0.944889521717,2.37818800649,7.40711306739,0.019996,118,0.00039972004,0.01999,0.1
0.20096,0.64068,10.1378737874,1.41452145215,0.809160474588,3.19,10.6520252025,1.39259925993,0.894007780804,3.39,1.07652049759,2.55440653102,7.3575937627,0.019996,119,0.00039972004,0.01999,0.1
0.20096,0.68066,9.77769776978,1.60206020602,0.747514226476,3.0,10.2534853485,1.26448644864,0.944636865673,3.29,1.18382701062,2.63600756568,7.31606386929,0.019996,120,0.00039972004,0.01999,0.1
0.20096,0.72064,9.32913291329,1.65808580858,0.684628025789,2.83,9.46508650865,1.2103210321,0.907939500251,3.0,1.23856372325,2.61036972706,7.06118361388,0.019996,121,0.00039972004,0.01999,0.1
0.20096,0.76062,8.36609660966,1.47628762876,0.606327823157,2.55,8.45536553655,1.36825682568,0.734013584349,2.61,1.13079695317,2.31015958709,6.40629525474,0.019996,122,0.00039972004,0.01999,0.1
