k1,k2,E_Ts_x1,E_Tr_x1,E_OS_x1,E_Osc_x1,E_Ts_x2,E_Tr_x2,E_OS_x2,E_Osc_x2,E_Up,E_Ui,J,ProbabilityWeight-k1,ProbabilityWeight,ProbabilityWeight-k2,PointProbability,prefix
2.5005,1.0005,5.95077538769,0.980290145073,0.574382821742,3.21,7.1635817909,0.833616808404,1.22104687561,3.97,3.02000829159,4.61726791502,11.8659484101,0.04999,0.00249825025,0.049975,0.1,221
2.5005,1.10045,5.43341670835,0.965382691346,0.561420388222,2.82,6.60740370185,0.908554277139,1.21958461864,3.57,3.39884497893,4.7088282178,12.0772726482,0.04999,0.00249825025,0.049975,0.1,222
2.5005,1.2004,4.95807903952,0.997298649325,0.49400121426,2.57,5.95077538769,0.906753376688,1.03565230076,3.17,3.08707499907,4.02876493949,10.756246673,0.04999,0.00249825025,0.049975,0.1,223
2.5005,1.30035,4.71535767884,1.07673836918,0.478095106324,2.41,5.65522761381,0.912956478239,1.11131702456,3.03,3.4667214875,4.12375204045,11.1436367735,0.04999,0.00249825025,0.049975,0.1,224
2.5005,1.4003,4.18849424712,1.00610305153,0.425482930498,2.02,5.12266133067,0.849224612306,1.03316018672,2.68,3.46602450894,3.84362857761,10.5165259976,0.04999,0.00249825025,0.049975,0.1,225
2.5005,1.50025,3.87573786893,1.06733366683,0.347386646755,1.81,4.71385692846,0.871635817909,0.927686371994,2.44,3.40514487167,3.46077995223,9.87585827658,0.04999,0.00249825025,0.049975,0.1,226
2.5005,1.6002,3.83871935968,1.11575787894,0.369594713428,1.79,4.58729364682,0.887743871936,0.993091074651,2.35,3.83259922556,3.6566754858,10.5014442151,0.04999,0.00249825025,0.049975,0.1,227
2.5005,1.70015,3.52936468234,1.13996998499,0.313477033223,1.59,4.25432716358,0.998699349675,0.862061374403,2.11,3.61792937957,3.37182804304,9.83788555653,0.04999,0.00249825025,0.049975,0.1,228
2.5005,1.8001,3.3763881941,1.11025512756,0.278639175952,1.49,4.07283641821,0.844422211106,0.90058325777,2.06,3.89986901003,3.32208593376,9.93124151066,0.04999,0.00249825025,0.049975,0.1,229
2.5005,1.90005,2.95647823912,1.18949474737,0.227944984143,1.16,3.6072036018,0.881740870435,0.777732160428,1.69,3.73898844511,2.99907175268,9.21185849395,0.04999,0.00249825025,0.049975,0.1,230
2.5005,2.0,2.88524262131,1.21290645323,0.22964105102,1.09,3.51175587794,0.817708854427,0.766558165444,1.61,4.13979404575,3.18908181809,9.74188944472,0.04999,0.001249125125,0.0249875,0.1,231
2.75045,0.001,19.9986993497,0.872336168084,1.31098427656,12.31,20.0,1.14897448724,2.53868082916,12.3,3.60711332435,45.7305263901,60.8666430023,0.04999,0.001274120125,0.0254875,0.1,232
2.75045,0.10095,19.7228614307,1.01340670335,1.25611645452,12.04,19.9343671836,0.955677838919,2.45286045692,12.42,3.6408249675,30.2174401578,45.2548550516,0.04999,0.00249825025,0.049975,0.1,233
2.75045,0.2009,19.8370185093,1.13326663332,1.14777363572,12.07,19.9337668834,0.866533266633,2.25665404457,12.3,3.5392447177,20.5871559848,35.4728800524,0.04999,0.00249825025,0.049975,0.1,234
2.75045,0.30085,19.0834417209,0.79939969985,1.11461653197,11.58,19.8537268634,1.00620310155,2.17333839255,12.19,3.58941568199,15.7542473812,30.3834146501,0.04999,0.00249825025,0.049975,0.1,235
2.75045,0.4008,15.591895948,1.06403201601,1.00960139097,9.4,18.3233616808,0.819209604802,1.98600847073,11.1,3.51387577363,12.1407375716,25.3912376203,0.04999,0.00249825025,0.049975,0.1,236
2.75045,0.50075,12.2419209605,0.953476738369,0.886302519683,7.27,14.872036018,0.873236618309,1.83084020642,9.02,3.42592262481,9.64802008816,21.0380011655,0.04999,0.00249825025,0.049975,0.1,237
2.75045,0.6007,10.3835917959,1.07483741871,0.875965567478,6.11,12.5590795398,0.982291145573,1.72799752899,7.49,3.5150512936,8.52087811208,19.0073178145,0.04999,0.00249825025,0.049975,0.1,238
2.75045,0.70065,8.70665332666,1.10465232616,0.776307766255,5.08,10.6494247124,0.862731365683,1.60791871075,6.33,3.43379147098,7.19703664258,16.6315872123,0.04999,0.00249825025,0.049975,0.1,239
2.75045,0.8006,7.44642321161,1.01310655328,0.688189684919,4.28,9.13366683342,1.07373686843,1.40775712978,5.35,3.22119223692,5.97666266016,14.4742433144,0.04999,0.00249825025,0.049975,0.1,240
2.75045,0.90055,6.68514257129,1.05132566283,0.669347138465,3.79,8.22831415708,0.900650325163,1.42504826024,4.79,3.50476042961,5.76244913016,14.0841584178,0.04999,0.00249825025,0.049975,0.1,241
